mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.330403089523315,0.4834584434541163,1.1696415742238362,0.321545762733205,2.8885052857562994,{'C': 2.8885052857562994},0.8474,0.8444,0.8454,0.8457333333333334,0.0012472191289246,54
1.5463678042093914,0.0565711971409906,1.49099866549174,0.4528321493890571,0.3154134248824541,{'C': 0.3154134248824541},0.8542,0.8486,0.8522,0.8516666666666666,0.002317086292931,18
1.6183831691741943,0.1593879605416341,1.882572571436564,0.1219918385981995,0.1305314442024255,{'C': 0.1305314442024255},0.8562,0.8482,0.8568,0.8537333333333333,0.0039203174474637,5
18.95902331670125,0.5283811848339692,0.7382127443949381,0.1011169278400992,20.633311282654528,{'C': 20.633311282654528},0.8438,0.839,0.843,0.8419333333333333,0.0020997354330698,85
1.6030664443969729,0.1692319842458544,1.3020083904266355,0.3305442712763973,0.6399977051272857,{'C': 0.6399977051272857},0.852,0.8464,0.8524,0.8502666666666666,0.0027390184778898,30
1.0478092829386394,0.0439607906876976,1.4053716659545898,0.0682696268687597,0.0638799267896123,{'C': 0.06387992678961238},0.8602,0.8474,0.853,0.8535333333333334,0.0052391687211702,6
1.031085729598999,0.0262347286806409,2.3766674995422363,0.3303607071906931,0.0101950656239486,{'C': 0.01019506562394865},0.8376,0.837,0.8408,0.8384666666666666,0.0016679994670929,100
1.0231645901997883,0.1062342792339434,1.87984561920166,0.3371403942768204,0.0130966930207318,{'C': 0.013096693020731832},0.8428,0.838,0.8442,0.8416666666666667,0.0026549743668986,91
1.0034531752268474,0.0418037597628608,1.1625216801961262,0.1139040306531625,0.0697902627672176,{'C': 0.0697902627672176},0.8604,0.8478,0.855,0.8544,0.0051613951602255,3
7.48272967338562,0.24435576218496,0.7008743286132812,0.0536608309339651,8.327012227867765,{'C': 8.327012227867765},0.8474,0.8404,0.8462,0.8446666666666668,0.003056504903026,59
5.789730707804362,0.6520749233547474,0.627581516901652,0.0249969959886912,6.307882738010783,{'C': 6.307882738010783},0.847,0.842,0.8448,0.8446000000000001,0.0020461345670963,62
80.08362499872844,10.65224031201804,0.5639322598775228,0.0338142312617675,98.46975604577914,{'C': 98.46975604577914},0.8404,0.839,0.8436,0.8410000000000001,0.0019252705437591,95
0.948871612548828,0.0211874705635022,1.6340573628743489,0.1827369581455059,0.0118776229121277,{'C': 0.01187762291212772},0.8404,0.839,0.843,0.8408000000000001,0.0016573070526208,96
0.9678262869517008,0.0413034084294006,1.4448440074920654,0.0851399927857651,0.0128583856905736,{'C': 0.012858385690573688},0.8418,0.8384,0.8436,0.8412666666666667,0.0021561282171728,94
1.804738203684489,0.0320931272905824,0.6627304553985596,0.0474216802094501,1.128420700763789,{'C': 1.128420700763789},0.85,0.8446,0.8518,0.8487999999999999,0.0030594117081556,34
10.16741180419922,0.6789927351435366,0.5560316244761149,0.006771851061527,11.947317355158788,{'C': 11.947317355158788},0.8456,0.8402,0.845,0.8436,0.0024166091947189,70
1.049226442972819,0.0197784788874559,0.7957003116607666,0.2358589328547227,0.3633828344189322,{'C': 0.3633828344189322},0.8534,0.8474,0.853,0.8512666666666666,0.0027390184778898,24
0.8813106218973795,0.0220839198800458,0.8492395877838135,0.0148073490334916,0.0138678409825413,{'C': 0.013867840982541344},0.845,0.8386,0.8446,0.8427333333333333,0.0029272664533466,71
46.47529832522074,1.0505315586662178,0.6379192670186361,0.0664664289811702,60.63402927691391,{'C': 60.63402927691391},0.842,0.8392,0.845,0.8420666666666667,0.0023683092891108,83
1.0774739583333333,0.0255552115249564,0.6009182135264078,0.0097688493609651,0.417286535695508,{'C': 0.41728653569550805},0.8544,0.8474,0.8532,0.8516666666666666,0.003056504903026,18
0.884090264638265,0.0161927563454498,0.6418601671854655,0.0099543641338831,0.1190933954254201,{'C': 0.11909339542542018},0.8576,0.8502,0.856,0.8546,0.0031790984046843,2
1.320215066274007,0.0403747418969645,0.6084636052449545,0.0175685375598484,0.6836587294311656,{'C': 0.6836587294311656},0.8524,0.8462,0.8524,0.8503333333333334,0.0029227080289044,28
0.9070157210032144,0.0272082459023756,0.6718005339304606,0.0239521460154799,0.0896933261836021,{'C': 0.0896933261836021},0.8576,0.8468,0.8558,0.8534,0.004724404724407,8
19.518173456192017,1.4688729650052703,0.5641574064890543,0.0267523865498146,23.966580909008773,{'C': 23.966580909008773},0.844,0.8392,0.8426,0.8419333333333333,0.0020154955277108,85
6.096579392751058,0.541554161714078,0.6199395656585693,0.084933272387073,6.845936856992855,{'C': 6.8459368569928545},0.847,0.842,0.845,0.8446666666666666,0.0020548046676563,60
1.256008783976237,0.15995178869503,0.6646095116933187,0.0639868683315148,0.450697735664786,{'C': 0.45069773566478605},0.854,0.8468,0.852,0.8509333333333333,0.0030346151137976,25
0.9845798015594482,0.0710004176268759,1.2195740540822346,0.1567534212263637,0.0300586168213809,{'C': 0.030058616821380967},0.8526,0.8416,0.8474,0.8472,0.0044929574521318,43
1.1990452607472737,0.1836972984686036,0.6853422323862711,0.049875294072979,0.2152189397988707,{'C': 0.21521893979887077},0.857,0.8476,0.8538,0.8528000000000001,0.0039021361671098,12
48.00381771723429,5.473115839089368,0.7507390181223551,0.1583044160008573,64.91542418019797,{'C': 64.91542418019797},0.8416,0.839,0.8444,0.8416666666666668,0.0022050447211388,90
0.898170550664266,0.0260094666202333,0.8568920294443766,0.1072681480825416,0.0228450634853924,{'C': 0.022845063485392437},0.851,0.842,0.846,0.8463333333333334,0.003681787005729,49
